Unique_ID,Location_type,Zipcode,name,type,measurement,value,lat,lon,AQI_level
ZC_55720,Zip_code,55720.0,Fond du Lac,PM25,UG/M3,1.3955294374046587,46.7695,-92.4492,
ZC_55720,Zip_code,55720.0,Fond du Lac,OZONE_AQI,AQI,27.54381790475558,46.7695,-92.4492,good
ZC_95117,Zip_code,95117.0,San Jose,PM2.5,UG/M3,9.212434188115523,37.3146,-121.9668,
ZC_33126,Zip_code,33126.0,Miami,WS,M/S,2.90500968224168,25.7788,-80.274,
ZC_33126,Zip_code,33126.0,Miami,PM2.5,UG/M3,6.870706852563994,25.7788,-80.274,
ZC_33126,Zip_code,33126.0,Miami,RHUM,PERCENT,71.72936808061704,25.7788,-80.274,
ZC_33126,Zip_code,33126.0,Miami,WD,DEGREES,165.61493456401,25.7788,-80.274,
ZC_95118,Zip_code,95118.0,San Jose,PM2.5,UG/M3,9.212434188115523,37.2542,-121.8825,
ZC_5261,Zip_code,5261.0,Bennington,RHUM,PERCENT,75.17905032583484,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,BARPR,MILLIBAR,986.7169228625402,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,PRECIP,MM,0.0924520224366823,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,WD,DEGREES,217.1409339716955,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,WS,M/S,2.53198549370383,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,RWS,KNOTS,4.2153523374500494,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,SRAD,WATTS/M2,151.89681856529464,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,TEMP,C,9.626665274957045,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,RWD,DEGREES,218.17033964634928,42.7972,-73.2204,
ZC_5261,Zip_code,5261.0,Bennington,PM2.5,UG/M3,5.679498519717203,42.7972,-73.2204,
ZC_8360,Zip_code,8360.0,Millville,NO,PPB,2.7270802581106754,39.4847,-75.0225,
ZC_8360,Zip_code,8360.0,Millville,PM2.5,UG/M3,8.196602279042592,39.4847,-75.0225,
ZC_8360,Zip_code,8360.0,Millville,NOX,PPB,9.018016030141798,39.4847,-75.0225,
ZC_3840,Zip_code,3840.0,Portsmouth,RWS,KNOTS,5.136545113727238,43.0379,-70.8399,
ZC_3840,Zip_code,3840.0,Portsmouth,PM2.5,UG/M3,6.838838417911592,43.0379,-70.8399,
ZC_3840,Zip_code,3840.0,Portsmouth,TEMP,C,10.428439580021518,43.0379,-70.8399,
ZC_3840,Zip_code,3840.0,Portsmouth,RWD,DEGREES,211.082831298506,43.0379,-70.8399,
ZC_33147,Zip_code,33147.0,Miami,RHUM,PERCENT,71.72936808061704,25.8383,-80.2274,
ZC_33147,Zip_code,33147.0,Miami,PM2.5,UG/M3,6.870706852563994,25.8383,-80.2274,
ZC_33147,Zip_code,33147.0,Miami,WD,DEGREES,165.61493456401,25.8383,-80.2274,
ZC_33147,Zip_code,33147.0,Miami,WS,M/S,2.90500968224168,25.8383,-80.2274,
ZC_8610,Zip_code,8610.0,Rider University,PM25_AQI,AQI,28.384050390870183,40.1997,-74.7288,good
ZC_8610,Zip_code,8610.0,Rider University,PM25,UG/M3,7.356574781596357,40.1997,-74.7288,
ZC_8610,Zip_code,8610.0,Rider University,OZONE_AQI,AQI,23.81852584280344,40.1997,-74.7288,good
ZC_1583,Zip_code,1583.0,Worcester,SRAD,WATTS/M2,143.11716459744147,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,TEMP,C,10.145539219493385,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,NOX,PPB,16.167498216969243,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,PM2.5,UG/M3,8.100063882590488,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,WS,M/S,3.335674227362861,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,BARPR,MILLIBAR,978.1969110991188,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,NO,PPB,6.009374327727248,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,WD,DEGREES,210.6928236955022,42.3452,-71.7843,
ZC_1583,Zip_code,1583.0,Worcester,RHUM,PERCENT,70.6347170218584,42.3452,-71.7843,
ZC_2883,Zip_code,2883.0,Narragansett,PM25,UG/M3,3.943570352830649,41.4395,-71.4864,
ZC_2883,Zip_code,2883.0,Narragansett,OZONE_AQI,AQI,30.33354833939791,41.4395,-71.4864,good
ZC_2883,Zip_code,2883.0,Narragansett,PM25_AQI,AQI,15.68571201622906,41.4395,-71.4864,good
ZC_16648,Zip_code,16648.0,Altoona,OZONE,PPB,27.07616217495201,40.4322,-78.3932,
ZC_94132,Zip_code,94132.0,San Francisco,CO,PPM,0.3482084040207275,37.7202,-122.4768,
ZC_94132,Zip_code,94132.0,San Francisco,NO2,PPB,8.744360520564246,37.7202,-122.4768,
ZC_94132,Zip_code,94132.0,San Francisco,OZONE,PPB,25.47986714871804,37.7202,-122.4768,
ZC_95209,Zip_code,95209.0,Stockton,TEMP,C,9.649603793140786,38.0279,-121.3381,
ZC_33140,Zip_code,33140.0,Miami,WD,DEGREES,165.61493456401,25.8115,-80.1232,
ZC_33140,Zip_code,33140.0,Miami,PM2.5,UG/M3,6.870706852563994,25.8115,-80.1232,
ZC_33140,Zip_code,33140.0,Miami,WS,M/S,2.90500968224168,25.8115,-80.1232,
ZC_33140,Zip_code,33140.0,Miami,RHUM,PERCENT,71.72936808061704,25.8115,-80.1232,
ZC_95219,Zip_code,95219.0,Stockton,TEMP,C,9.649603793140786,38.0059,-121.3607,
ZC_2881,Zip_code,2881.0,Narragansett,TEMP,C,12.11433465832043,41.4812,-71.5286,
ZC_2881,Zip_code,2881.0,Narragansett,RWS,KNOTS,3.83078033037727,41.4812,-71.5286,
ZC_2881,Zip_code,2881.0,Narragansett,RHUM,PERCENT,70.02304673517894,41.4812,-71.5286,
ZC_2881,Zip_code,2881.0,Narragansett,RWD,DEGREES,200.3212607139756,41.4812,-71.5286,
ZC_2881,Zip_code,2881.0,Narragansett,PM2.5,UG/M3,3.942891005004562,41.4812,-71.5286,
ZC_2880,Zip_code,2880.0,Narragansett,PM25,UG/M3,3.943570352830649,41.4393,-71.487,
ZC_2880,Zip_code,2880.0,Narragansett,PM25_AQI,AQI,15.68571201622906,41.4393,-71.487,good
ZC_2880,Zip_code,2880.0,Narragansett,OZONE_AQI,AQI,30.33354833939791,41.4393,-71.487,good
