,Unique_ID,lat,lon
268,S_060251003,32.77966062857143,-115.56170565714284
269,S_060254003,33.035479624999994,-115.6218010625
270,S_060270002,37.36082128823529,-118.32830364117646
271,S_060270004,36.60826110000001,-118.05906635
272,S_060270019,36.6060444,-118.0628654
273,S_060270022,36.328769925,-117.95071115
274,S_060270025,37.7494213,-92.65883739285714
275,S_060270026,36.72702417857143,-87.67275356428571
276,S_060270028,36.543200000000006,-117.9418
277,S_060270029,38.05780831999999,-88.96876332999999
278,S_060270030,38.59817714375001,-112.4423346375
279,S_060270101,36.506341825,-117.02158085
280,S_060271001,36.04666423125,-117.945866575
281,S_060271003,40.56936125,-89.23319197000001
282,S_060271023,37.36354543571429,-118.41749566428574
283,S_060271028,41.41567575,-78.86203033333334
284,S_060290007,38.96678288,-87.74401421
285,S_060290008,35.0563191,-119.402936625
286,S_060290011,35.05044307272727,-118.14791232727276
287,S_060290014,35.36687783076923,-119.03559730769231
288,S_060290232,35.4378123125,-119.0152013125
289,S_060292009,34.84163383333334,-118.86479247777778
290,S_060292012,35.33139483666664,-119.00162418333336
291,S_060295002,35.238453125,-118.7878105
292,S_060296001,35.503609399999995,-119.27301255000002
293,S_060310004,42.219747,-71.0320863
294,S_060311004,36.316894090909095,-119.64519409090909
295,S_060370002,34.13433244999999,-117.91166277499998
296,S_060370016,34.144120244444444,-117.85099512777778
297,S_060370113,34.038627725000005,-118.44929624999996
298,S_060371103,37.31598337826088,-90.4546289217391
299,S_060371201,34.200456128125,-118.535037053125
300,S_060371302,33.89764504705882,-118.2151952235294
301,S_060371602,33.989872350000006,-118.08967225000004
302,S_060371701,34.05879295454547,-117.75018470454548
303,S_060372005,34.143704734615376,-118.13983801923072
304,S_060374004,33.79263275555556,-118.11375243333332
305,S_060374008,40.897542065,-85.744775265
306,S_060375005,33.94832945,-118.419495
307,S_060376012,34.38895806764706,-118.53796405882352
308,S_060379033,38.24008191666667,-105.63227125
309,S_060390004,37.22423354,-120.39386102
310,S_060392010,36.95942906666667,-120.05425213333338
311,S_060410001,37.97280057,-122.52438433
312,S_060416002,42.3000641,-88.43440629999999
313,S_060430003,37.83663820625,-119.5697863875
